host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,neighbourhood_cleansed_encoded,amenities_encoded
1,1,100.0,1,1,1,1,0,1,1,0,4.0,4.0,0,1.5,1.0,1.0,1825.0,2.0,365,2.1,1125.0,1.0,54,77,244,8.0,1.0,4.9,4.94,4.96,4.84,4.89,4.96,4.9,4.0,1.67,5,20973
1,1,100.0,1,1,1,1,0,1,1,0,15.0,26.0,0,2.0,1.0,2.0,1100.0,3.0,1125,3.0,1125.0,0.0,22,52,142,16.0,0.0,4.91,4.94,4.85,4.99,4.98,4.89,4.91,9.0,0.82,10,8172
0,0,50.0,0,1,1,0,0,0,1,0,1.0,2.0,0,1.0,1.0,1.0,622.0,1.0,365,1.0,365.0,1.0,59,89,269,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.0,1.2,3,22117
1,1,99.0,1,0,1,1,0,0,1,0,2.0,5.0,0,1.0,1.0,1.0,890.0,1.0,365,1.0,1114.7,1.0,47,72,347,10.9,2.0,4.97,4.95,4.96,4.98,4.98,4.95,4.97,2.0,2.03,2,19925
1,1,93.0,1,0,1,1,0,0,1,1,12.0,13.0,0,1.0,1.0,1.0,999.0,1.0,365,2.0,365.0,0.0,33,43,312,0.0,0.0,4.71,4.71,5.0,5.0,5.0,5.0,4.86,8.0,0.06,5,14395
1,1,100.0,0,1,1,1,0,1,1,0,12.0,14.0,0,1.0,1.0,1.0,541.0,1.0,1125,1.0,1125.0,0.0,20,47,319,25.0,2.0,4.59,4.66,4.65,4.86,4.83,4.95,4.67,12.0,3.17,5,9907
0,0,89.0,0,1,1,0,0,0,0,0,1.0,1.0,0,1.0,1.0,1.0,999.0,2.0,14,2.0,14.0,0.0,0,0,0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.0,1.2,2,1419
0,0,89.0,0,1,1,0,1,1,1,0,1.0,3.0,1,1.0,2.0,1.0,999.0,3.0,180,3.0,180.0,0.0,0,0,0,0.0,0.0,4.78,4.87,4.88,4.89,4.73,4.9,4.8,1.0,0.79,5,1120
0,0,100.0,1,1,1,1,1,1,1,0,2.0,5.0,0,1.0,2.0,2.0,800.0,2.0,365,2.0,365.0,0.0,13,21,265,12.0,2.0,4.66,4.76,4.62,4.79,4.81,4.86,4.65,2.0,1.33,5,16411
0,0,89.0,0,1,1,0,0,0,0,0,1.0,2.0,0,1.0,1.0,1.0,999.0,1.6,10,4.0,10.0,0.0,0,0,0,0.0,0.0,4.78,4.79,4.85,4.86,4.86,4.93,4.78,1.0,0.82,5,17535
1,1,100.0,1,1,1,1,0,0,1,0,2.0,2.0,0,1.5,1.0,1.0,552.0,2.0,1125,3.0,1125.0,0.0,19,49,266,22.0,0.0,4.81,4.82,4.83,4.87,4.93,4.76,4.84,2.0,1.6,3,14081
1,1,98.0,1,1,1,1,0,0,1,0,2.0,2.0,0,1.0,2.0,1.0,999.0,2.0,31,2.0,1125.0,0.0,0,0,0,29.0,0.0,4.84,4.86,4.81,4.89,4.91,4.89,4.77,2.0,1.39,5,20455
0,1,86.0,0,1,1,1,0,0,1,1,5.0,5.0,0,1.5,1.0,1.0,348.0,3.0,1125,2.7,1125.0,1.0,58,87,87,0.0,0.0,4.82,4.88,4.76,4.94,5.0,4.9,4.75,5.0,0.2,12,21535
0,0,89.0,0,1,1,1,0,0,1,0,2.0,10.0,0,1.0,1.0,1.0,1300.0,2.0,1125,2.0,1125.0,1.0,58,88,363,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,2.0,1.2,3,24494
0,0,89.0,0,1,1,0,0,0,0,0,1.0,1.0,0,1.0,1.0,1.0,999.0,1.6,180,5.0,180.0,0.0,0,0,0,0.0,0.0,4.8,4.9,4.8,4.9,4.9,4.9,4.7,1.0,1.2,5,22284
0,0,89.0,0,0,1,1,0,0,1,0,2.0,2.0,0,1.0,1.0,1.0,999.0,1.6,30,1.8,1125.0,0.0,0,0,0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,2.0,0.04,8,14193
1,1,81.0,1,1,1,1,1,1,1,0,3.0,5.0,1,2.0,2.0,3.0,766.0,1.0,1125,3.0,1125.0,0.0,14,30,298,10.0,3.0,4.94,4.97,4.94,5.0,4.95,4.97,4.89,2.0,0.5,2,4078
1,1,100.0,0,1,1,1,1,1,1,0,7.0,7.0,0,1.0,1.0,1.0,1318.0,3.0,1125,3.0,1125.0,1.0,27,50,139,24.0,0.0,4.87,4.89,4.9,4.97,4.98,4.91,4.84,3.0,2.61,5,18149
